吉田,名詞,固有名詞,人名,姓,吉田,*,*
党首,名詞,一般,*,*,党首,*,*
続投,名詞,一般,*,*,続投,*,*
社民党,名詞,固有名詞,組織,*,社民党,*,*
代表,名詞,サ変接続,*,*,代表,*,*
者,名詞,接尾,一般,*,者,*,*
会議,名詞,サ変接続,*,*,会議,*,*
後,名詞,接尾,副詞可能,*,後,*,*
党首,名詞,一般,*,*,党首,*,*
幹事,名詞,一般,*,*,幹事,*,*
長,名詞,接尾,一般,*,長,*,*
記者,名詞,一般,*,*,記者,*,*
会見,名詞,サ変接続,*,*,会見,*,*
生,接頭詞,名詞接続,*,*,生,*,*
中継,名詞,サ変接続,*,*,中継,*,*
nicohou,名詞,固有名詞,組織,*,nicohou,*,*
